Data,24381 - Rendimento m�dio real efetivo de todos os trabalhos - PNADC - R$,28475 - �ndice volume de vendas no varejo - Hiper/supermercado, Prod. aliment�cios, bebidas, fumo - Brasil - Dados dessazonalizados - �ndice,28477 - �ndice volume de vendas no varejo - Tecido, vestu�rio e cal�ado - Brasil - Dados dessazonalizados - �ndice,28478 - �ndice volume de vendas no varejo - M�veis e eletrodom�sticos - Brasil - Dados dessazonalizados - �ndice,28484 - Material de constru��o - Dados dessazonalizados - �ndice,
jan/00,,54,7,84,7,33,,,,
fev/00,,55,28,86,5,34,7,,,
mar/00,,55,4,87,83,34,44,,,
abr/00,,55,36,89,38,34,23,,,
mai/00,,55,86,87,84,35,7,,,
jun/00,,56,81,88,49,35,66,,,
jul/00,,56,68,88,55,36,36,,,
ago/00,,56,42,87,27,36,85,,,
set/00,,56,79,88,14,36,66,,,
out/00,,55,67,84,91,35,27,,,
nov/00,,56,46,87,42,36,97,,,
dez/00,,57,18,86,84,36,91,,,
jan/01,,57,48,88,98,36,66,,,
fev/01,,57,3,89,77,35,83,,,
mar/01,,57,18,89,8,36,18,,,
abr/01,,57,8,87,68,35,19,,,
mai/01,,55,56,91,3,35,17,,,
jun/01,,56,38,89,44,34,42,,,
jul/01,,56,7,83,28,34,46,,,
ago/01,,55,87,89,93,34,14,,,
set/01,,56,92,88,36,34,38,,,
out/01,,56,44,89,57,35,5,,,
nov/01,,56,1,88,73,34,56,,,
dez/01,,56,38,87,4,35,38,,,
jan/02,,56,4,88,7,36,96,,,
fev/02,,55,85,87,72,35,49,,,
mar/02,,56,79,86,8,36,27,,,
abr/02,,56,16,87,42,36,71,,,
mai/02,,56,92,85,75,35,89,,,
jun/02,,55,72,81,97,34,6,,,
jul/02,,55,85,88,11,34,24,,,
ago/02,,55,86,91,99,34,75,,,
set/02,,54,66,88,73,33,99,,,
out/02,,55,58,89,48,35,3,,,
nov/02,,54,47,89,47,34,2,,,
dez/02,,52,79,83,61,32,58,,,
jan/03,,52,92,87,47,32,9,62,6,
fev/03,,53,49,87,8,32,85,62,91,
mar/03,,52,35,88,2,31,38,61,61,
abr/03,,52,52,87,74,31,73,60,7,
mai/03,,52,42,73,64,31,81,59,82,
jun/03,,52,9,79,61,32,78,58,74,
jul/03,,52,42,82,67,33,7,57,64,
ago/03,,52,82,86,59,34,35,58,63,
set/03,,52,81,85,94,36,33,58,91,
out/03,,52,72,87,99,37,17,59,81,
nov/03,,53,42,87,45,37,14,59,51,
dez/03,,53,65,82,4,39,79,59,71,
jan/04,,53,83,88,16,38,9,58,71,
fev/04,,54,36,89,15,40,59,60,37,
mar/04,,54,47,89,72,40,55,61,74,
abr/04,,56,44,87,41,42,14,62,21,
mai/04,,55,83,92,3,42,77,62,24,
jun/04,,56,42,92,5,44,13,62,37,
jul/04,,56,56,89,76,44,59,62,11,
ago/04,,56,49,86,59,44,12,61,52,
set/04,,56,74,88,9,43,56,60,65,
out/04,,57,79,87,84,44,59,59,98,
